C:\Code\GraphicsPractice\QtOpenGLPractice\build\Release>2DRenderer.exe PersistMapOperation  CirNumDim=400 PersistMem=64
wait count is (ms): 0.207153
wait count is (ms): 0.24059
wait count is (ms): 0.113033
wait count is (ms): 0.1934
wait count is (ms): 0.136347
wait count is (ms): 0.136747
wait count is (ms): 0.17731
wait count is (ms): 0.176083
wait count is (ms): 0.158197
wait count is (ms): 0.112227
wait count is (ms): 0.167107
wait count is (ms): 0.128473
wait count is (ms): 0.10065
wait count is (ms): 0.206713
wait count is (ms): 0.180173
wait count is (ms): 0.244593
wait count is (ms): 0.17373
wait count is (ms): 0.12421
wait count is (ms): 0.16239
wait count is (ms): 0.306407
wait count is (ms): 0.119673
wait count is (ms): 0.122663
wait count is (ms): 0.115393
wait count is (ms): 0.188083
wait count is (ms): 0.225533
wait count is (ms): 0.119587
wait count is (ms): 0.185117
wait count is (ms): 0.131843
wait count is (ms): 0.130467
wait count is (ms): 0.168467
wait count is (ms): 0.23212
wait count is (ms): 0.136737
wait count is (ms): 0.199647
wait count is (ms): 0.118307
wait count is (ms): 0.140587
wait count is (ms): 0.109567
wait count is (ms): 0.164473
wait count is (ms): 0.159637
wait count is (ms): 0.108367
wait count is (ms): 0.134963

C:\Code\GraphicsPractice\QtOpenGLPractice\build\Release>
C:\Code\GraphicsPractice\QtOpenGLPractice\build\Release>2DRenderer.exe PersistMapOperation  CirNumDim=400 PersistMem=128
wait count is (ms): 0.301177
wait count is (ms): 0.292383
wait count is (ms): 0.32747
wait count is (ms): 0.295997
wait count is (ms): 0.29373
wait count is (ms): 0.282113
wait count is (ms): 0.287393
wait count is (ms): 0.28747
wait count is (ms): 0.303577
wait count is (ms): 0.293123
wait count is (ms): 0.29571
wait count is (ms): 0.324297
wait count is (ms): 1.10696
wait count is (ms): 0.734197
wait count is (ms): 0.306003
wait count is (ms): 0.309277
wait count is (ms): 0.287813
wait count is (ms): 0.305183
wait count is (ms): 0.35809
wait count is (ms): 0.310713
wait count is (ms): 0.300933
wait count is (ms): 0.319947
wait count is (ms): 0.3014
wait count is (ms): 0.30364
wait count is (ms): 0.44062
wait count is (ms): 0.28547
wait count is (ms): 0.299937
wait count is (ms): 0.385967
wait count is (ms): 0.3713
wait count is (ms): 0.29895
wait count is (ms): 0.325963
wait count is (ms): 0.28409
wait count is (ms): 0.311633
wait count is (ms): 0.322243
wait count is (ms): 0.39515
wait count is (ms): 0.30658
wait count is (ms): 0.329753
wait count is (ms): 0.464277
wait count is (ms): 0.414233
wait count is (ms): 0.39405
wait count is (ms): 0.34171
wait count is (ms): 0.480463
wait count is (ms): 0.347363
wait count is (ms): 0.21413
wait count is (ms): 0.229837
wait count is (ms): 0.258097
wait count is (ms): 0.155757
wait count is (ms): 0.191153
wait count is (ms): 0.157433
wait count is (ms): 0.177943
wait count is (ms): 0.208107
wait count is (ms): 0.1861
wait count is (ms): 0.139363
wait count is (ms): 0.210343
wait count is (ms): 0.184487
wait count is (ms): 0.15142
wait count is (ms): 0.210063
wait count is (ms): 0.151143
wait count is (ms): 0.147987
wait count is (ms): 0.184343
wait count is (ms): 0.184633
wait count is (ms): 0.147697
wait count is (ms): 0.183533
wait count is (ms): 0.169447
wait count is (ms): 0.180703
wait count is (ms): 0.144837
wait count is (ms): 0.147723
wait count is (ms): 0.147653
wait count is (ms): 0.15113
wait count is (ms): 0.163023
wait count is (ms): 0.176803
wait count is (ms): 0.181843
wait count is (ms): 0.19328
wait count is (ms): 0.140267
wait count is (ms): 0.178607
wait count is (ms): 0.141227
wait count is (ms): 0.147923
wait count is (ms): 0.144113
